index,key,entry_type,line,source_kind,identifier,status,bib_title,primary_title,title_similarity,bib_year,primary_year,bib_author_surnames,primary_author_surnames,author_prefix_match,primary_source_url,issues,manual_checked_at,manual_basis
1,poole2022dreamfusion,article,1,arxiv,2209.14988,verified_primary_metadata,DreamFusion: Text-to-3D using 2D Diffusion,DreamFusion: Text-to-3D using 2D Diffusion,1.0,2022,2022,poole;jain;barron;mildenhall,poole;jain;barron;mildenhall,True,http://arxiv.org/abs/2209.14988v1,,,
2,lin2022magic3d,inproceedings,9,arxiv,2211.10440,verified_primary_metadata,Magic3D: High-Resolution Text-to-3D Content Creation,Magic3D: High-Resolution Text-to-3D Content Creation,1.0,2023,2022,lin;gao;tang;takikawa;zeng;huang;kreis;fidler;liu;lin,lin;gao;tang;takikawa;zeng;huang;kreis;fidler;liu;lin,True,http://arxiv.org/abs/2211.10440v2,,,
3,nichol2022pointe,article,17,arxiv,2212.08751,verified_primary_metadata,Point-E: A System for Generating 3D Point Clouds from Complex Prompts,Point-E: A System for Generating 3D Point Clouds from Complex Prompts,1.0,2022,2022,nichol;jun;dhariwal;mishkin;chen,nichol;jun;dhariwal;mishkin;chen,True,http://arxiv.org/abs/2212.08751v1,,,
4,jun2023shape,article,25,arxiv,2305.02463,verified_primary_metadata,Shap-E: Generating Conditional 3D Implicit Functions,Shap-E: Generating Conditional 3D Implicit Functions,1.0,2023,2023,jun;nichol,jun;nichol,True,http://arxiv.org/abs/2305.02463v1,,,
5,tochilkin2024triposr,article,34,arxiv,2403.02151,verified_primary_metadata,TripoSR: Fast 3D Object Reconstruction from a Single Image,TripoSR: Fast 3D Object Reconstruction from a Single Image,1.0,2024,2024,tochilkin;pankratz;liu;huang;letts;li;liang;laforte;jampani;cao,tochilkin;pankratz;liu;huang;letts;li;liang;laforte;jampani;cao,True,http://arxiv.org/abs/2403.02151v1,,,
6,tang2024lgm,article,42,arxiv,2402.05054,verified_primary_metadata,LGM: Large Multi-View Gaussian Model for High-Resolution 3D Content Creation,LGM: Large Multi-View Gaussian Model for High-Resolution 3D Content Creation,1.0,2024,2024,tang;chen;chen;wang;zeng;liu,tang;chen;chen;wang;zeng;liu,True,http://arxiv.org/abs/2402.05054v1,,,
7,wang2024crm,article,50,arxiv,2403.05034,verified_primary_metadata,CRM: Single Image to 3D Textured Mesh with Convolutional Reconstruction Model,CRM: Single Image to 3D Textured Mesh with Convolutional Reconstruction Model,1.0,2024,2024,wang;wang;chen;xiang;chen;yu;li;su;zhu,wang;wang;chen;xiang;chen;yu;li;su;zhu,True,http://arxiv.org/abs/2403.05034v1,,,
8,wu2024unique3d,article,58,arxiv,2405.20343,verified_primary_metadata,Unique3D: High-Quality and Efficient 3D Mesh Generation from a Single Image,Unique3D: High-Quality and Efficient 3D Mesh Generation from a Single Image,1.0,2024,2024,wu;liu;cai;yan;wang;hu;duan;ma,wu;liu;cai;yan;wang;hu;duan;ma,True,http://arxiv.org/abs/2405.20343v3,,,
9,xu2024instantmesh,article,66,arxiv,2404.07191,verified_primary_metadata,InstantMesh: Efficient 3D Mesh Generation from a Single Image with Sparse-view Large Reconstruction Models,InstantMesh: Efficient 3D Mesh Generation from a Single Image with Sparse-view Large Reconstruction Models,1.0,2024,2024,xu;cheng;gao;wang;gao;shan,xu;cheng;gao;wang;gao;shan,True,http://arxiv.org/abs/2404.07191v2,,,
10,stability2024sf3d,misc,74,url_only,https://stability.ai/news-updates/introducing-stable-fast-3d,verified_vendor_metadata,Introducing Stable Fast 3D: Rapid 3D Asset Generation From Single Images,,,2024,,ai,,,https://stability.ai/news-updates/introducing-stable-fast-3d,,2026-07-15,Official Stability AI page heading matches the BibTeX title; the page links the separate arXiv technical report. Corporate authorship is used for the vendor announcement.
11,sf3d2024,article,81,arxiv,2408.00653,verified_primary_metadata,SF3D: Stable Fast 3D Mesh Reconstruction with UV-unwrapping and Illumination Disentanglement,SF3D: Stable Fast 3D Mesh Reconstruction with UV-unwrapping and Illumination Disentanglement,1.0,2024,2024,boss;huang;vasishta;jampani,boss;huang;vasishta;jampani,True,http://arxiv.org/abs/2408.00653v1,,,
12,stability2025spar3d,misc,89,url_only,https://github.com/Stability-AI/stable-point-aware-3d,verified_software_source,SPAR3D: Stable Point-Aware Reconstruction of 3D Objects from Single Images,,,2025,,ai,,,https://github.com/Stability-AI/stable-point-aware-3d,,2026-07-15,"Official Stability-AI repository heading exactly matches the cited software title. This is an implementation source, not peer-reviewed comparative evidence."
13,xiang2024trellis,article,96,arxiv,2412.01506,verified_primary_metadata,Structured 3D Latents for Scalable and Versatile 3D Generation,Structured 3D Latents for Scalable and Versatile 3D Generation,1.0,2024,2024,xiang;lv;xu;deng;wang;zhang;chen;tong;yang,xiang;lv;xu;deng;wang;zhang;chen;tong;yang,True,http://arxiv.org/abs/2412.01506v3,,,
14,xiang2025trellis2,article,104,arxiv,2512.14692,verified_primary_metadata,Native and Compact Structured Latents for 3D Generation,Native and Compact Structured Latents for 3D Generation,1.0,2025,2025,xiang;chen;xu;wang;lv;deng;zhu;dong;zhao;yuan;yang,xiang;chen;xu;wang;lv;deng;zhu;dong;zhao;yuan;yang,True,http://arxiv.org/abs/2512.14692v1,,,
15,zhao2025hunyuan3d,article,112,arxiv,2501.12202,verified_primary_metadata,Hunyuan3D 2.0: Scaling Diffusion Models for High Resolution Textured 3D Assets Generation,Hunyuan3D 2.0: Scaling Diffusion Models for High Resolution Textured 3D Assets Generation,1.0,2025,2025,zhao;lai;lin;zhao;liu;others,zhao;lai;lin;zhao;liu;yang;feng;yang;zhang;yang;shi;liu;wu;lian;yang;tang;he;wang;liu;zuo;chen;lei;weng;xu;zhu;liu;xu;hu;yang;zhang;liu;huang;wang;zhang;chen;dong;jia;cai;yu;tang;zhang;ye;he;wu;zhang;tan;xiao;tao;zhu;xue;liu;zhao;wu;hu;qin;peng;li;chen;zhang;niu;wang;wang;kuang;fan;zheng;zhuang;he;liu;yang;wang;liu;jiang;huang;guo,True,http://arxiv.org/abs/2501.12202v5,,,
16,hunyuan2025hunyuan3d21,article,120,arxiv,2506.15442,verified_primary_metadata,Hunyuan3D 2.1: From Images to High-Fidelity 3D Assets with Production-Ready PBR Material,Hunyuan3D 2.1: From Images to High-Fidelity 3D Assets with Production-Ready PBR Material,1.0,2025,2025,hunyuan3d,hunyuan3d;yang;yang;feng;huang;zhang;he;luo;liu;zhao;lin;lai;yang;shi;zhao;zhang;yan;wang;liu;zhang;chen;dong;jia;cai;yu;tang;guo;yu;zhang;ye;he;wu;wei;zhang;tan;sun;niu;huang;zheng;liu;chen;yuan;yang;liu;zhu;chen;liu;wang;liu;linus;jiang;huang;guo,True,http://arxiv.org/abs/2506.15442v1,,,
17,wu2025direct3ds2,article,128,arxiv,2505.17412,verified_primary_metadata,Direct3D-S2: Gigascale 3D Generation Made Easy with Spatial Sparse Attention,Direct3D-S2: Gigascale 3D Generation Made Easy with Spatial Sparse Attention,1.0,2025,2025,wu;lin;zhang;zeng;yang;bao;qian;zhu;torr;cao;yao,wu;lin;zhang;zeng;yang;bao;qian;zhu;cao;torr;yao,True,http://arxiv.org/abs/2505.17412v2,,,
18,triposg2025,article,136,arxiv,2502.06608,verified_primary_metadata,TripoSG: High-Fidelity 3D Shape Synthesis using Large-Scale Rectified Flow Models,TripoSG: High-Fidelity 3D Shape Synthesis using Large-Scale Rectified Flow Models,1.0,2025,2025,li;zou;liu;wang;liang;yu;liu;guo;liang;ouyang;cao,li;zou;liu;wang;liang;yu;liu;guo;liang;ouyang;cao,True,http://arxiv.org/abs/2502.06608v3,,,
